OMEGA   Lz  CHEMICAL_POTENTIAL_N  CHEMICAL_POTENTIAL_EV  N_PHASE N_FLUX
0   0.99999416593519630        1.7288763189501049        7.1198456925193074E-014   1.0100512942855675        0.0000000000000000     
1   0.99999416599872071        1.7129596420102020        7.0542977510571877E-014   1.0087434045718502        0.0000000000000000     
2   0.99999416606022962        1.6970429650647991        6.9887498095724158E-014   1.0074324869131652        0.0000000000000000     
3   0.99999416612084435        1.6811262881138744        6.9232018680649045E-014   1.0061180606897930        0.0000000000000000     
4   0.99999416618152182        1.6652096111574537        6.8576539265347598E-014   1.0047996414837244        0.0000000000000000     
5   0.99999416624320869        1.6492929340958871        6.7921059845716037E-014   1.0034767403617362        0.0000000000000000     
6   0.99999416630699023        1.6333762571287327        6.7265580429972563E-014   1.0021488631569009        0.0000000000000000     
7   0.99999416637428717        1.6174595801565455        6.6610101014021814E-014   1.0008155096726781        0.0000000000000000     
8   0.99999416644716732        1.6015429031797841        6.5954621597882710E-014  0.99947617269939415        0.0000000000000000     
9   0.99999416652894135        1.5856262261993359        6.5299142181591754E-014   4.9981303366752945        0.0000000000000000     
10  0.99999416662536256        1.5697095492170074        6.4643662765223376E-014   4.9967774756896972        0.0000000000000000     
11  0.99999416674723052        1.5537928722367003        6.3988183348938238E-014   8.9954170503074025        0.0000000000000000     
12  0.99999416691631104        1.5378761952672997        6.3332703933102259E-014   8.9940485024127117        0.0000000000000000     
13  0.99999416717916312        1.5219595183298888        6.2677224518583678E-014   8.9926712473022015        0.0000000000000000     
14  0.99999416763841742        1.5060428414750220        6.2021745107464406E-014   8.9912846644599007        0.0000000000000000     
15  0.99999416850974276        1.4901261648158000        6.1366265704402180E-014   12.989888100465064        0.0000000000000000     
16  0.99999417011649849        1.4742094887297568        6.0710786324944553E-014   12.988480950301026        0.0000000000000000     
17  0.99999417209156161        1.4582928130285520        6.0055306961335318E-014   12.987063071670457        0.0000000000000000     
18  0.99999416987041678        1.4423761346806321        5.9399827488729248E-014   12.985636453019955        0.0000000000000000     
19  0.99999418600173540        1.4264594736680565        5.8744348730026053E-014   12.984211448294495        0.0000000000000000     
20  0.99999462303889874        1.4105432021950570        5.8088886013312924E-014   12.982800655764754        0.0000000000000000     
21  0.99999637804165431        1.3946282623998891        5.7433478137657938E-014   12.981397224071181        0.0000000000000000     
22   1.0000009771480234        1.3787164179560132        5.6778197734531324E-014   12.980003314539601        0.0000000000000000     
23   1.0000106472590096        1.3628104604039002        5.6123159764946679E-014   16.978620135032870        0.0000000000000000     
24   4.9994622658066987        3.0876976958875066        1.2715733854933385E-013   5.0163854958475023        0.0000000000000000     
25   4.9994622769990080        3.0081243244687035        1.2388035384241477E-013   5.0146816873005804        0.0000000000000000     
26   8.9954301348435912        6.3080767184575715        2.5977874969833304E-013   9.0545507677749217        0.0000000000000000     
27   8.9954324327597472        6.1649018795870507        2.5388253405447218E-013   9.0526270856961588        0.0000000000000000     
28   8.9953931192555423        6.0217023941950716        2.4798530341938421E-013   9.0502853209460170        0.0000000000000000     
29   8.9954088587887089        5.8785337412235750        2.4208934252276024E-013   9.0484437366664654        0.0000000000000000     
30   8.9954128707985728        5.7353604021107651        2.3619318864181070E-013   9.0464378218549744        0.0000000000000000     
31   8.9954146366223764        5.5921859795147117        2.3029699014093417E-013   9.0443366561419047        0.0000000000000000     
32   8.9954156274939514        5.4490111656209423        2.2440077552566404E-013   9.0421466859958368        0.0000000000000000     
33   8.9954163027933820        5.3058361975569088        2.1850455456136544E-013   9.0398595830586110        0.0000000000000000     
34   12.981280142859006        9.5271275626506640        3.9234546390347033E-013   13.082117317592402        0.0000000000000000     
35   12.981426669035235        9.3207081866977965        3.8384471640278717E-013   13.079908452651607        0.0000000000000000     
36   12.981684452454841        9.1144494074697047        3.7535058258456690E-013   13.077690844375692        0.0000000000000000     
37   12.982204868693602        8.9085789248555400        3.6687243956883372E-013   13.075562266877531        0.0000000000000000     
38   16.946160612217817        14.186033108597215        5.8420816813268572E-013   17.120519532471800        0.0000000000000000     
39   16.946655784810211        13.917044683553385        5.7313070667177054E-013   17.118353041423767        0.0000000000000000     
40   16.947355393637036        13.648392213779584        5.6206708049598234E-013   17.116138526598881        0.0000000000000000     
41   16.948423487104780        13.380350693754609        5.5102861440764443E-013   17.113946702241694        0.0000000000000000     
42   16.950194819500286        13.113495447144519        5.4003900134349633E-013   17.111906395948768        0.0000000000000000     
43   16.953476131056664        12.849236352876659        5.2915630283343370E-013   17.110273956712160        0.0000000000000000     
44   16.960674671731883        12.591844615709997        5.1855641531650022E-013   17.109587924274344        0.0000000000000000     
45   16.982251144882408        12.360156204346065        5.0901504026511499E-013   17.111019320336919        0.0000000000000000     
46   20.885207840064997        18.323865892969163        7.5461209236519772E-013   21.161577637646310        0.0000000000000000     
47   20.890589413444150        18.001309598351657        7.4132860285438030E-013   21.161658003645883        0.0000000000000000     
48   20.899070188062950        17.684751059984013        7.2829211249863425E-013   21.162726853036546        0.0000000000000000     
49   20.913812133158245        17.380481544276169        7.1576170776677353E-013   21.165412790843131        0.0000000000000000     
50   20.943307459123435        17.105623866054419        7.0444253915480847E-013   21.170588604883427        0.0000000000000000     
51   21.020139090058191        16.926594398704118        6.9706976084801706E-013   21.179132952570246        0.0000000000000000     
52   24.795332136238123        23.545419997593051        9.6964574799788746E-013   25.236463497520631        0.0000000000000000     
53   24.815309068158033        23.192008596513471        9.5509158577076119E-013   25.243604268958663        0.0000000000000000     
54   24.844794552736602        22.859477402020840        9.4139731066972665E-013   25.252557591126706        0.0000000000000000     
55   24.892606057844883        22.567472190020620        9.2937197358768789E-013   25.263505027339306        0.0000000000000000     
56   24.980327387216601        22.364715376998902        9.2102205748323059E-013   25.276263536133079        0.0000000000000000     
57   25.188133209885102        22.433353643691589        9.2384871351465053E-013   25.290189692503422        0.0000000000000000     
58   28.685232433154319        29.357752902340742        1.2090088125604624E-012   29.330251953079181        0.0000000000000000     
59   28.743226993567884        29.033283620011499        1.1956465425309348E-012   29.341154082399317        0.0000000000000000     
60   28.820153348985546        28.756239485700643        1.1842373314457327E-012   29.352367176393315        0.0000000000000000     
